<DOC>	<DOC>+BDTag
isteyeceğinizi	iste+VERB+POS^DB+NOUN+FUTPART+A3SG+P2PL+ACC
düşündüm	düşün+VERB+POS+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Gen	gen+NOUN+A3SG+PNON+NOM
böylece	böylece+ADV
bir	bir+DET
bitkinin	bitki+NOUN+A3SG+PNON+GEN
kendini	kendi+PRON+REFLEXP+A3SG+P3SG+ACC
döllemesini	dölle+VERB+POS^DB+NOUN+INF2+A3SG+P3SG+ACC
önleyebilir	önle+VERB+POS^DB+VERB+ABLE+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Onların	o+PRON+PERS+A3PL+PNON+GEN
ikisini	iki+NUM+CARD^DB+NOUN+ZERO+A3SG+P3SG+ACC
de	de+CONJ
severim	sev+VERB+POS+AOR+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
George	george+NOUN+PROP+A3SG+PNON+NOM
Morton	morton+NOUN+PROP+A3SG+PNON+NOM
</S>	</S>+ESTag
<S>	<S>+BSTag
bu	bu+DET
bitkilerdeki	bitki+NOUN+A3PL+PNON+LOC^DB+ADJ+REL
başakları	başak+NOUN+A3PL+PNON+ACC
budamak	buda+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
zordur	zor+ADJ^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yukarısı	yukarı+ADJ^DB+ADJ+JUSTLIKE
ya	ya+CONJ
duyarsızlık	duyarsız+ADJ^DB+NOUN+NESS+A3SG+PNON+NOM
ya	ya+CONJ
da	da+CONJ
uygarlığın	uygarlık+NOUN+A3SG+PNON+GEN
bir	bir+DET
zaferini	zafer+NOUN+A3SG+P3SG+ACC
temsil	temsil+NOUN+A3SG+PNON+NOM
eder	et+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Hooker'in	hooker+NOUN+PROP+A3SG+PNON+GEN
felsefesi	felsefe+NOUN+A3SG+P3SG+NOM
inşa	inşa+NOUN+A3SG+PNON+NOM
etmek	et+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
ve	ve+CONJ
satmaktı	sat+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
polen	polen+NOUN+A3SG+PNON+NOM
engelleyici	engelle+VERB+POS^DB+ADJ+AGT
gene	gen+NOUN+A3SG+PNON+DAT
,	,+PUNC
ayrık	ayrık+NOUN+A3SG+PNON+NOM
otu	ot+NOUN+A3SG+P3SG+NOM
zehri	zehir+NOUN+A3SG+PNON+ACC
direnci	direnç+NOUN+A3SG+PNON+ACC
için	için+POSTP+PCNOM
,	,+PUNC
ikinci	ikinci+ADJ
bir	bir+DET
gen	gen+NOUN+A3SG+PNON+NOM
eklediler	ekle+VERB+POS+PAST+A3PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Onun	o+PRON+PERS+A3SG+PNON+GEN
imzası	imza+NOUN+A3SG+P3SG+NOM
değil	değil+CONJ
;	;+PUNC
vurucu	vur+VERB+POS^DB+NOUN+AGT+A3SG+PNON+NOM
McGwire'nin	mcgwire+NOUN+PROP+A3SG+PNON+GEN
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Biz	biz+PRON+PERS+A1PL+PNON+NOM
inşa	inşa+NOUN+A3SG+PNON+NOM
etmek	et+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
ve	ve+CONJ
elde	elde+NOUN+A3SG+PNON+NOM
tutmak	tut+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
istiyoruz	iste+VERB+POS+PROG1+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Tartışma	tartış+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM
Japonya'nın	japonya+NOUN+PROP+A3SG+PNON+GEN
finans	finans+NOUN+A3SG+PNON+NOM
devlerinin	dev+NOUN+A3PL+P3PL+GEN
küresel	küresel+ADJ
gücünü	güç+NOUN+A3SG+P3SG+ACC
açık	açık+ADJ
şekilde	şekil+NOUN+A3SG+PNON+LOC
gösteriyor	göster+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Sıfır	sıfır+NOUN+A3SG+PNON+NOM
sayı	sayı+NOUN+A3SG+PNON+NOM
vuruşu	vur+VERB+POS^DB+NOUN+INF3+A3SG+PNON+ACC
ve	ve+CONJ
tutuş	tut+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM
ile	ile+POSTP+PCNOM
,	,+PUNC
burada	burada+ADV
24'te	24+NUM+CARD^DB+NOUN+ZERO+A3SG+PNON+LOC
5'lik	5+NUM+CARD^DB+NOUN+ZERO+A3SG+PNON+NOM^DB+ADJ+FITFOR
bir	bir+DET
toplama	toplam+NOUN+A3SG+PNON+DAT
eriştiler	eriş+VERB+POS+PAST+A3PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Hoare	Hoare+NOUN+PROP+A3SG+PNON+NOM
Govett	Govett+NOUN+PROP+A3SG+PNON+NOM
konsorsiyum'un	konsorsiyum+NOUN+PROP+A3SG+PNON+GEN
yatırım	yatırım+NOUN+A3SG+PNON+NOM
bankacıları	bankacı+NOUN+A3PL+P3PL+NOM
gibi	gibi+POSTP+PCNOM
davranıyor	davran+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yeni	yeni+ADJ
Zelanda'nın	zelanda+NOUN+PROP+A3SG+PNON+GEN
maliye	maliye+NOUN+A3SG+PNON+NOM
bakanı	bakan+NOUN+A3SG+PNON+ACC
,	,+PUNC
David	david+NOUN+PROP+A3SG+PNON+NOM
Caygill	caygill+NOUN+PROP+A3SG+PNON+NOM
,	,+PUNC
bu	bu+DET
tür	tür+NOUN+A3SG+PNON+NOM
önerilere	öneri+NOUN+A3PL+PNON+DAT
kızdı	kız+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
beyzboldur	beyzbol+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Merksamer	Merksamer+NOUN+PROP+A3SG+PNON+NOM
zinciri	zincir+NOUN+A3SG+PNON+ACC
şu	şu+PRON+DEMONSP+A3SG+PNON+NOM
anda	an+NOUN+A3SG+PNON+LOC
First	first+NOUN+PROP+A3SG+PNON+NOM
Boston	boston+NOUN+PROP+A3SG+PNON+NOM
Şirketi	şirket+NOUN+A3SG+PNON+ACC
tarafından	taraf+NOUN+A3SG+P3SG+ABL
satışa	sat+VERB+POS^DB+NOUN+INF3+A3SG+PNON+DAT
sunuluyor	sun+VERB^DB+VERB+PASS+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bankalar	banka+NOUN+A3PL+PNON+NOM
menkul	menkul+ADJ
kıymetler	kıymet+NOUN+A3PL+PNON+NOM
işinin	iş+NOUN+A3SG+P3SG+GEN
tüm	tüm+DET
yönlerine	yön+NOUN+A3SG+P3PL+DAT
girmeyi	gir+VERB+POS^DB+NOUN+INF2+A3SG+PNON+ACC
şiddetle	şiddetle+ADV
istiyor	iste+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ödenmemiş	öden+VERB+NEG+NARR^DB+ADJ+ZERO
ortalama	ortala+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM
hisseler	hisse+NOUN+A3PL+PNON+NOM
82.1	82.1+NUM+REAL
milyondan	milyon+NUM+CARD^DB+NOUN+ZERO+A3SG+PNON+ABL
75.8	75.8+NUM+REAL
milyona	milyon+NUM+CARD^DB+NOUN+ZERO+A3SG+PNON+DAT
düştü	düş+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
haftanın	hafta+NOUN+A3SG+PNON+GEN
toplamı	toplam+NOUN+A3SG+PNON+ACC
geçen	geçen+ADJ
yıldaki	yıl+NOUN+A3SG+PNON+LOC^DB+ADJ+REL
274963	274963+NUM+CARD
tondan	ton+NOUN+A3SG+PNON+ABL
%	%+PERCENT
6.2	6.2+NUM+REAL
fazladır	fazla+ADJ^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ve	ve+CONJ
karşılıklı	karşılıklı+ADJ
şüpheleri	şüphe+NOUN+A3PL+PNON+ACC
derine	derin+ADJ^DB+NOUN+ZERO+A3SG+PNON+DAT
gider	git+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Gelir	gelir+NOUN+A3SG+PNON+NOM
1.41	1.41+NUM+REAL
milyar	milyar+NUM+CARD
dolardan	dolar+NOUN+A3SG+PNON+ABL
1.39	1.39+NUM+REAL
milyar	milyar+NUM+CARD
dolara	dolar+NOUN+A3SG+PNON+DAT
%	%+PERCENT
1	1+NUM+CARD
düştü	düş+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bunlar	bu+PRON+DEMONSP+A3PL+PNON+NOM
10000	10000+NUM+CARD
Dolar	dolar+NOUN+A3SG+PNON+NOM
minimum	minimum+ADJ
nominal	nominal+ADJ
değerinde	değer+NOUN+A3SG+P3SG+LOC
mevcut	mevcut+ADJ
olacaktır	ol+VERB+POS+FUT+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yeni	yeni+ADJ
Zellanda	Zellanda+NOUN+PROP+A3SG+PNON+NOM
hisse	hisse+NOUN+A3SG+PNON+NOM
mevzusu	mevzu+NOUN+A3SG+P3SG+NOM
basitçe	basitçe+ADV
iki	iki+NUM+CARD
kurumu	kurum+NOUN+A3SG+PNON+ACC
karşı	karşı+NOUN+A3SG+PNON+NOM
karşıya	karşı+NOUN+A3SG+PNON+DAT
getirdi	getir+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Gelirler	gelir+NOUN+A3PL+PNON+NOM
4.19	4.19+NUM+REAL
milyar	milyar+NUM+CARD
dolardan	dolar+NOUN+A3SG+PNON+ABL
4.17	4.17+NUM+REAL
milyar	milyar+NUM+CARD
dolara	dolar+NOUN+A3SG+PNON+DAT
%	%+PERCENT
1	1+NUM+CARD
azaldı	azal+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
daha	daha+ADV
çok	çok+ADV
tek	tek+ADJ
seferlik	sefer+NOUN+A3SG+PNON+NOM^DB+ADJ+FITFOR
bir	bir+DET
anlaşma	anlaş+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM
gibidir	gibi+POSTP+PCNOM^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yogi	yogi+NOUN+A3SG+PNON+NOM
Berra'nın	berra+NOUN+PROP+A3SG+PNON+GEN
diyebileceği	de+VERB+POS^DB+VERB+ABLE^DB+NOUN+FUTPART+A3SG+P3SG+NOM
gibi	gibi+POSTP+PCNOM
,	,+PUNC
bu	bu+PRON+DEMONSP+A3SG+PNON+NOM
yine	yine+ADV
dejavu	dejavu+NOUN+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Şimdi	şimdi+ADV
,	,+PUNC
bu	bu+DET
bir	bir+DET
yenilik	yenilik+NOUN+A3SG+PNON+NOM
olmayacak	ol+VERB+NEG+FUT+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
İnsanlar	insan+NOUN+A3PL+PNON+NOM
paniklemiyorlar	panikle+VERB+NEG+PROG1+A3PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
``	``+PUNC
Eski	eski+ADJ
çocuklar	çocuk+NOUN+A3PL+PNON+NOM
,	,+PUNC
''	''+PUNC
diyor	de+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Phyllis	Phyllis+NOUN+PROP+A3SG+PNON+NOM
Kyle	Kyle+NOUN+PROP+A3SG+PNON+NOM
Stephenson	Stephenson+NOUN+PROP+A3SG+PNON+NOM
Newport	Newport+NOUN+PROP+A3SG+PNON+NOM
News	News+NOUN+PROP+A3SG+PNON+NOM
,	,+PUNC
Va	Va+NOUN+PROP+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Deneme	deneme+NOUN+A3SG+PNON+NOM
bugün	bugün+NOUN+A3SG+PNON+NOM
gelebilir	gel+VERB+POS^DB+VERB+ABLE+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Belki	belki+ADV
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Öğle	öğle+NOUN+A3SG+PNON+NOM
olmadan	ol+VERB+POS^DB+NOUN+INF2+A3SG+PNON+ABL
,	,+PUNC
satış	sat+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM
paniğe	panik+NOUN+A3SG+PNON+DAT
yakın	yakın+ADJ
telaştaydı	telaş+NOUN+A3SG+PNON+LOC^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Cumanın	cuma+NOUN+A3SG+PNON+GEN
hisse	hisse+NOUN+A3SG+PNON+NOM
senetleri	senet+NOUN+A3PL+P3SG+NOM
piyasa	piyasa+NOUN+A3SG+PNON+NOM
satışı	sat+VERB+POS^DB+NOUN+INF3+A3SG+P3SG+NOM
hareket	hareket+NOUN+A3SG+PNON+NOM
etmek	et+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
için	için+POSTP+PCNOM
çoğu	çoğu+ADJ
yatırımcıya	yatırımcı+NOUN+A3SG+PNON+DAT
göre	göre+POSTP+PCDAT
çok	çok+ADV
geç	geç+ADV
geldi	gel+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ve	ve+CONJ
sadece	sadece+ADV
oyuncular	oyuncu+NOUN+A3PL+PNON+NOM
için	için+POSTP+PCNOM
değil	değil+CONJ
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Dün	dün+NOUN+A3SG+PNON+NOM
Londra'nın	londra+NOUN+PROP+A3SG+PNON+GEN
finans	finans+NOUN+A3SG+PNON+NOM
bölgesinin	bölge+NOUN+A3SG+P3SG+GEN
ticaret	ticaret+NOUN+A3SG+PNON+NOM
salonlarında	salon+NOUN+A3SG+P3PL+LOC
böyle	böyle+ADV
gitti	git+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Fakat	fakat+CONJ
sermaye	sermaye+NOUN+A3SG+PNON+NOM
yöneticileri	yönetici+NOUN+A3PL+PNON+ACC
hazır	hazır+ADJ
olduklarını	ol+VERB+POS^DB+NOUN+PASTPART+A3SG+P3PL+ACC
söylüyor	söyle+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Benim	ben+PRON+PERS+A1SG+PNON+NOM^DB+VERB+ZERO+PRES+A1SG
hızlı	hız+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
atışım	at+VERB+POS^DB+NOUN+INF3+A3SG+P1SG+NOM
iyidir	iyi+ADJ^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ve	ve+CONJ
Londra	londra+NOUN+PROP+A3SG+PNON+NOM
için	için+POSTP+PCNOM
karışık	karışık+ADJ
işaretler	işaret+NOUN+A3PL+PNON+NOM
bıraktı	bırak+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bütün	bütün+ADJ
sermayeler	sermaye+NOUN+A3PL+PNON+NOM
kurun	kur+NOUN+A3SG+PNON+GEN
nakit	nakit+NOUN+A3SG+PNON+NOM
seviyelerini	seviye+NOUN+A3SG+P3PL+ACC
arttırmadı	art+VERB^DB+VERB+CAUS+NEG+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Şimdi	şimdi+ADV
bir	bir+DET
avukat	avukat+NOUN+A3SG+PNON+NOM
,	,+PUNC
Bay	bay+NOUN+A3SG+PNON+NOM
Broberg	broberg+NOUN+PROP+A3SG+PNON+NOM
,	,+PUNC
bedavaya	bedavaya+ADV
oynayacağını	oyna+VERB+POS^DB+NOUN+FUTPART+A3SG+P3SG+ACC
iddia	iddia+NOUN+A3SG+PNON+NOM
ediyor	et+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ekranlardaki	ekran+NOUN+A3PL+PNON+LOC^DB+ADJ+REL
kırmızı	kırmızı+ADJ
sayılar	sayı+NOUN+A3PL+PNON+NOM
düşen	düş+VERB+POS^DB+ADJ+PRESPART
hisseleri	hisse+NOUN+A3SG+P3PL+NOM
gösteriyordu	göster+VERB+POS+PROG1+PAST+A3SG
;	;+PUNC
mavi	mavi+ADJ
sayılar	sayı+NOUN+A3PL+PNON+NOM
,	,+PUNC
yükselen	yüksel+VERB+POS^DB+ADJ+PRESPART
hisseleri	hisse+NOUN+A3PL+PNON+ACC
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Birçok	birçok+DET
sermaye	sermaye+NOUN+A3SG+PNON+NOM
yöneticisi	yönetici+NOUN+A3SG+P3SG+NOM
bugünün	bugün+NOUN+A3SG+PNON+GEN
satın	sat+VERB+POS+IMP+A2PL
almak	al+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
için	için+POSTP+PCNOM
tam	tam+ADV
zamanı	zaman+NOUN+A3SG+PNON+ACC
olduğunu	ol+VERB+POS^DB+NOUN+PASTPART+A3SG+P3SG+ACC
öne	ön+NOUN+A3SG+PNON+DAT
sürüyor	sür+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
``	``+PUNC
ondan	o+PRON+PERS+A3SG+PNON+ABL
o	o+DET
kadar	kadar+POSTP+PCDAT
kolay	kolay+ADJ
vazgeçemezsin	vazgeç+VERB^DB+VERB+ABLE+NEG+AOR+A2SG
,	,+PUNC
''	''+PUNC
diyor	de+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çok	çok+ADV
sıkı	sıkı+ADJ
bir	bir+DET
hesap	hesap+NOUN+A3SG+PNON+NOM
tutmaya	tut+VERB+POS^DB+NOUN+INF2+A3SG+PNON+DAT
meylederiz	meylet+VERB+POS+AOR+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Fakat	fakat+CONJ
çoğu	çoğu+ADJ
yatırımcı	yatırımcı+NOUN+A3SG+PNON+NOM
hisse	hisse+NOUN+A3SG+PNON+NOM
fiyatlarını	fiyat+NOUN+A3SG+P3PL+ACC
ve	ve+CONJ
diğer	diğer+ADJ
bilgileri	bilgi+NOUN+A3PL+PNON+ACC
arıyor	ara+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
denedim	dene+VERB+POS+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+PRON+DEMONSP+A3SG+PNON+NOM
çok	çok+ADV
yıldırıcıdır	yıl+VERB^DB+VERB+CAUS+POS^DB+NOUN+AGT+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ticaret	ticaret+NOUN+A3SG+PNON+NOM
hacmi	hacim+NOUN+A3SG+P3SG+NOM
normalden	normal+ADJ^DB+NOUN+ZERO+A3SG+PNON+ABL
sadece	sadece+ADV
biraz	biraz+ADV
yüksekti	yüksek+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
yedi	yedi+NUM+CARD
vuruştan	vur+VERB+POS^DB+NOUN+INF3+A3SG+PNON+ABL
vazgeçti	vazgeç+VERB+POS+PAST+A3SG
,	,+PUNC
beşini	beş+NUM+CARD^DB+NOUN+ZERO+A3SG+P3SG+ACC
yürüdü	yürü+VERB+POS+PAST+A3SG
ve	ve+CONJ
bir	bir+DET
karar	karar+NOUN+A3SG+PNON+NOM
almadı	al+VERB+NEG+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
O	o+PRON+PERS+A3SG+PNON+NOM
geçici	geçici+ADJ
olarak	ol+VERB+POS^DB+ADV+BYDOINGSO
Reuters	reuters+NOUN+PROP+A3SG+PNON+NOM
hissesi	hisse+NOUN+A3SG+P3SG+NOM
arayışını	ara+VERB+POS^DB+NOUN+INF3+A3SG+P3SG+ACC
bıraktı	bırak+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Sermaye	sermaye+NOUN+A3SG+PNON+NOM
grupları	grup+NOUN+A3SG+P3PL+NOM
,	,+PUNC
hâlâ	hâlâ+ADV
herhangi	herhangi+ADJ
bir	bir+DET
risk	risk+NOUN+A3SG+PNON+NOM
almıyorlar	al+VERB+NEG+PROG1+A3PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Kol	kol+NOUN+A3SG+PNON+NOM
sorunları	sorun+NOUN+A3PL+PNON+ACC
onu	o+PRON+PERS+A3SG+PNON+ACC
sonraki	sonraki+ADJ
sene	sene+NOUN+A3SG+PNON+NOM
küçüklere	küçük+ADJ^DB+NOUN+ZERO+A3PL+PNON+DAT
geri	geri+ADV
itti	it+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çok	çok+ADV
çalkantıya	çalkantı+NOUN+A3SG+PNON+DAT
gidiyoruz	git+VERB+POS+PROG1+A1PL
...	...+PUNC
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Fidelity	Fidelity+NOUN+PROP+A3SG+PNON+NOM
Cumartesi	cumartesi+NOUN+A3SG+PNON+NOM
günü	gün+NOUN+A3SG+PNON+ACC
ülke	ülke+NOUN+A3SG+PNON+NOM
genelindeki	genel+ADJ^DB+NOUN+ZERO+A3SG+P3SG+LOC^DB+ADJ+REL
54	54+NUM+CARD
bağımsız	bağımsız+ADJ
yatırımcı	yatırımcı+NOUN+A3SG+PNON+NOM
merkezini	merkez+NOUN+A3SG+P3SG+ACC
açtı	aç+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Fakat	fakat+CONJ
oyuncular	oyuncu+NOUN+A3PL+PNON+NOM
öyle	öyle+ADV
düşünmüyor	düşün+VERB+NEG+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
O	o+PRON+PERS+A3SG+PNON+NOM
haklıydı	hak+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Merkezler	merkez+NOUN+A3PL+PNON+NOM
normalde	normal+ADJ^DB+NOUN+ZERO+A3SG+PNON+LOC
hafta	hafta+NOUN+A3SG+PNON+NOM
sonu	son+NOUN+A3SG+P3SG+NOM
boyunca	boyunca+POSTP+PCNOM
kapalıdır	kapalı+ADJ^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çoğu	çoğu+ADJ
artık	artık+ADJ
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Öğle	öğle+NOUN+A3SG+PNON+NOM
vaktine	vakit+NOUN+A3SG+P3SG+DAT
kadar	kadar+POSTP+PCDAT
,	,+PUNC
Londra	londra+NOUN+PROP+A3SG+PNON+NOM
piyasası	piyasa+NOUN+A3SG+P3SG+NOM
tam	tam+ADJ
gerileme	gerile+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM
halindeydi	hal+NOUN+A3SG+P3SG+LOC^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Janus	janus+NOUN+PROP+A3SG+PNON+NOM
grubu	grup+NOUN+A3SG+P3SG+NOM
yatırımcılar	yatırımcı+NOUN+A3PL+PNON+NOM
için	için+POSTP+PCNOM
benzer	benzer+ADJ
bir	bir+DET
kayda	kayıt+NOUN+A3SG+PNON+DAT
sahipti	sahip+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bazıları	bazı+PRON+QUANTP+A3PL+P3PL+NOM
aylardır	ay+NOUN+A3PL+PNON+NOM^DB+ADV+SINCE
hazırlanıyordu	hazırla+VERB^DB+VERB+PASS+POS+PROG1+PAST+A3SG
;	;+PUNC
diğerleri	diğer+ADJ^DB+NOUN+ZERO+A3PL+PNON+ACC
sadece	sadece+ADV
son	son+ADJ
zamanlarda	zaman+NOUN+A3PL+PNON+LOC
aktif	aktif+ADJ
durumu	durum+NOUN+A3SG+PNON+ACC
bıraktı	bırak+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Konuşma	konuş+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM
baskı	baskı+NOUN+A3SG+PNON+NOM
altındaydı	alt+NOUN+A3SG+P3SG+LOC^DB+VERB+ZERO+PAST+A3SG
çünkü	çünkü+CONJ
patronların	patron+NOUN+A3PL+PNON+GEN
çoğu	çoğu+ADJ
en	en+ADV
son	son+ADJ
piyasa	piyasa+NOUN+A3SG+PNON+NOM
istatistiklerini	istatistik+NOUN+A3SG+P3PL+ACC
televizyonda	televizyon+NOUN+A3SG+PNON+LOC
izliyordu	izle+VERB+POS+PROG1+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Birkaç	birkaç+DET
sermaye	sermaye+NOUN+A3SG+PNON+NOM
yöneticisi	yönetici+NOUN+A3SG+P3SG+NOM
fiyatların	fiyat+NOUN+A3PL+PNON+GEN
stabilize	stabilize+NOUN+A3SG+PNON+NOM
olmasından	ol+VERB+POS^DB+NOUN+INF2+A3SG+P3SG+ABL
önce	önce+POSTP+PCABL
bu	bu+DET
sabah	sabah+NOUN+A3SG+PNON+NOM
sert	sert+ADJ
bir	bir+DET
piyasa	piyasa+NOUN+A3SG+PNON+NOM
bekliyor	bekle+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ve	ve+CONJ
gurur	gurur+NOUN+A3SG+PNON+NOM
vardır	var+ADJ^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
piyasa	piyasa+NOUN+A3SG+PNON+NOM
çok	çok+ADV
kötü	kötü+ADJ
bir	bir+DET
şekilde	şekil+NOUN+A3SG+PNON+LOC
zarar	zarar+NOUN+A3SG+PNON+NOM
gördü	gör+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
önemli	önem+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
